löpnummer,län,kommun,socken,föreningensnamn,föreningensinstiftelseår,objekt,formavägande,intressenter,fastighetsbeteckning,adress,arkitekt,byggmästare,nybyggnadsår,miljö,renoveringombyggnad,byggnaderfunktioner,verksamhetidag,tidigarefunktion,litteratur,arkivhandlingar,källa,anmärkning
0060,M,Ystad,,Balkåkra Folkets Husförening,1905,Balkåkra Folkets Hus,,,7:17,,,,1905,,Ombyggt 1962 efter ritningar av arkitekt Gunnar Gräslund,"A-sal med läktare runt om, B-sal, kök, vatmästarbostad.",,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 54",,"FHP, inventering  Malmö",
0061,AC,Norsjö,Nordsjö,Byggnadsföreningen Bastuträsk Folkets Hus upa,1943,Bastuträsk Folkets Hus,ekonomisk förening upa,,Bastuträsk 1:150,"Skolgatan 7, 930 61 Bastuträsk",,,,,Om- och tillbyggt 1980.,"scen, kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, teater någon gång per år, bio, dans någon gång per år, studiecirklar",,I lokalen och på arkivinstitution i Skellefteå,I lokalen och på folkrörelsearkivet  i Skellefteå 1943-1969,"FHP-enkät, NAD",
0062,Y,Timrå,Timrå,Bergeforsens Folkets Park,1926,Bergeforsparken,ekonomisk förening upa,"fackförening, enskilda, kommun",Sörberge 11:1,"Forsvägen, Sörberge","Wille Tommos, H. Ström, Alfred Götz, Erik Vaug Custensen",Peab m fl,1955,i anslutning till tätortsbebyggelse,om- och tillbyggnad 1993-1995,"friluftsscen, dansbana, restaurang","mötesverksamhet, föreningsexpedition, dans, restaurang",,,"I lokalen 1930- protokoll, räkenskaper, verksamhetsberättelser, fotografier, affischer","FHP-enkät, FPC",Föreningen hade tidigare FP i Bergeforsen på andra sidan Indalsälven. Den blev överdämd när Bergeforsens kraftverk byggdes.
0063,U,Hallstahammar,,Bergs arbetares byggnadsförening,1931,Bergs Folkets Hus,ekonomisk förening upa,"arbetarekommun, s-förening",Berga 2:2,"Bergavägen 8, Hallstahammar",,,1931-1933,utanför tätortsbebyggelse,"Stor renovering 1995-1996: nya toaletter som flyttats upp från källaren, köket, helrenovering utvändigt, asfalt runt huset","scen, kök, danslokal","mötesverksamhet, dans",,,i lokalen protokoll,FHP-enkät,
0064,E,Linköping,Vårdnäs,Byggnadsföreningen Hemmet upa,1924,"Eklunda, Bestorp",ekonomisk förening upa,"fackförening, s-förening, enskilda",Bonäsudden 1:56,,"Jonsson, FHR arkitektbyrå",Axel R. Unnerbäck,1959,"I mindre samhälle, landsbygd",1983 restaurering och tillbyggnad för handikappanpassad entré och toalett.,"scen, biosalong med flyttbara bänkar och plant golv för dans, serveringskök, studielokal","mötesverksamhet, bio, studiecirklar, uthyrning för privata fester",,,"Tidsmässigt spridda handlingar finns kvar, men det mesta försvann vid branden.",FHP-enkät,Föreningen hade ett tidigare hus på samma plats som brann ner.
0065,M,Bjuv,,Billesholms arbetares fastighetsförening,1898,Billesholms Folkets Hus & Park,ekonomisk förening,,Södra Vram 1:3,,,,"FH 1900, FP 1901",,"FH 1905 och 1913 musikläktare. 1914 vaktmästarbostad. FP 1905 skjutbana, 1909 utescen, 1911 danspaviljong. 1952 serveringsterass. 1919 elektirsk belysning.",1900 byggdes en dansbana som försågs med väggar och tak och då blev FH.,,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 31 Folkets Hus och Park i Billesholm : några anteckningar om dess tillkomst och utveckling med anledning av att tjugofem år förflutit sedan Billeholms",ARAB: [samling] organisationsklipp (bild: midsommarfest och barnfest 1906) ARAB: [samling]: organisationsklipp vol. 11,"FHP-enkät, SF, byggnadsinventering  Malmö, FPC, NM, ARAB: Arbetet 20 jan 1928",
0066,O,Göteborg,,Biskopsgårdens Folkets husförening,,Folkets Hus Biskopsgården,ideell förening,"enskilda, föreningar i stadsdelen",,Vårväderstorget 3,ABAKO,,1990,inne i tätortsbebyggelse,,"scen, studielokal, danslokal","mötesverksamhet, teater, konstutställningar, studiecirklar","bilskola, tandläkarmottaging",,"I lokalen protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier Folkrörelsernas arkiv i Göteborg/GSAF 1 vol. 1993-1995","FHP-enkät, NAD",
0067,M,Bjuv,,Bjuvs arbetares byggnadsförening upa,1898,Bjuvs Folkets Hus,,,,,,,1898,tätort,,,,FH med park; servering och utedansbana,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981  s. 31",ARAB: [samling]: organisationsklipp vol 5 bild,"FHP-enkät, SF, byggnadsinventering",Rivet 1952
0068,H,Högsby,,Björkshults Folkets husförening,1927,Björkshults Folkets Hus,,,,,,,1928,,,,,,,,"FHP, SF",
0069,D,Katrineholm,Björkvik,Björkviks Folkets parkförening,1931,Björkviks Folkets Park,ekonomisk förening upa,"fackförening, s-förening, enskilda, centerorganisationer",Tjärsta 2:6,Gustavsborg,,Byggdes med ideella krafter,1931,utanför tätortsbebyggelse,"Den inbyggda dansbanan byggdes om 1984, gjordes större, ny parkett, mm. Kjosken/köket renoverades 1989.","friluftsscen, dansbana 1932, 5 lotterikiosker, pilkastningsbana, kök/kiosk, wc, jordkällare","mötesverksamhet, dans, privata fester, auktioner, spelmansstämma",,,"Katrineholms arbetararkiv 1931- 1980 protokoll, utgående handlingar, räkenskaper, verksamhetsberättelser, register o ch liggare, inkomna handlingar, ämnesordnade handlingar","FHP-enkät, SF, NAD",
0070,Y,Sollefteå,Sånga,Björkådalens byggnadsförening upa,1927,Björksjöns Folkets Hus,ekonomisk förening upa,enskilda,Nyåkersberg 10:1,"Björksjön, 881 92 Sollefteå",bybor,bybor,1927-1928,utanför tätortsbebyggelse,Restaurering 1950-tal och 1990-tal,"scen, kök, studielokal, danslokal","mötesverksamhet, studiecirklar, gymnastik",,,"I lokalen protokoll 1927- räkenskaper, de senaste tio åren ritningar, fnv hos Sollefteå kommun ARAB: FHP-samling övriga orter vol 4: fragment: stadgar och andelsbevis 1927",FHP-enkät,"Föreningen har haft en dansbana 25 m från huset, som är riven."
0071,Y,Örnsköldsvik,,,,Björna Folkets Hus,,,,,,,,,,,,,,,FHP,
0072,S,Kristinehamn,Visnum,Björneborgs Folkets Hus & Park,1911,Björneborgs Folkets Park,ekonomisk förening upa,"fackförening, s-förening, enskilda",Liljan Skogen 1:117,Hanbovägen 1,,,FP 1937 FH 1973,i anslutning till tätortsbebyggelse,,"friluftsscen, dansbana, lotteribodar, skjutbanor, servering","mötesverksamhet, teater, dans, mässor",,historik 2 s. tillsammans med FHP-enkät,"I lokalen protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer ARAB: FHP-samling övriga orter vol 4: fragment: program 1962","FHP-enkät, FPC",Föreningen har haft Folkets Hus och Park vid sjön Vismen i samhället Björneborg. Rivet. Föreningen hette före 1974 Byggnadsföreningen Verdandi upa.
0073,H,Västervik,Hjorted,Föreningen Folkets Hus i Blankaholm upa,1915,Blankaholms Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, enskilda",Blanka 1:25,,,Arvid Svensson,1942,i anslutning till tätortsbebyggelse,toaletterna 1989 handikappanpassning 1995 varmluftspanna 1958,"scen, biograf, kök, restaurang, studiecirkel, danslokal","mötesverksamhet, teater, bio, dans",,,"I lokalen protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar","FHP-enkät, SF","Föreningen har haft tidigare FH på samma plats, som brann ner."
0074,S,Årjäng,Blomskog,Föreningen Blomskogs Folkets Hus upa,1934,Blomskogs Folkets Hus,ekonomisk förening upa,enskilda,V:a Trättlunda 1:55,,,Herbert Karlsson,1951,utanför tätortsbebyggelse,"Renovering i början av 1960-talet. Renovering 1983. Renovering och tillbyggnad 1995-1996: gymnastiksal, omklädningsrum, bastu, tillagningskök.","scen, kök, studielokal, föreningsexpedition, danslokal, gymnastiksal, bastu","mötesverksamhet, föreningsexpedition, skolverksamhet Årjängs kommun",,,Folkrörelsearkivet i Forshaga 1950-,FHP-enkät,Föreningen har haft en FP i Östra Trättlunda. Såldes till annan förening.
0075,H,Mönsterås,,Föreningen Folkets Hus upa,1905,Blomstermåla Folkets Hus,ekonomisk förening upa,"fackförening, kommun, enskilda","Århult 10:49, 10:52","Storgatan 83, 384 22 Blomstermåla","Erik Uppling, Stockholm",Mönsterås Byggnadsfirma,1961,inne i tätortsbebyggelse,"1971 tillbyggdes 800 kvm. I övre planet tillkom festsalen och nya serveringen. I undre planet tillkom ungdomslokal och tillbyggnad av danslokalen. 1981 upprustning, bl. a. handikapphiss och en del av köksavdelningen.","scen, biograf, kök, studielokal, bibliotek (Under våren 2000 flyttades biblioteket till Krungårdsskolan i Blomstermåla.), föreningsexpedition (ABF), danslokal, Konditoriet, Folkets husexpedition","mötesverksamhet, föreningsexpedition, teater, bio, dans, studiecirklar",,"Föreningen Folkets hus Blomstermåla 75 år, Ingvar Svensson, Blomstermåla, 1981","Folkrörelsearkivet i Mellersta Kalmar län protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar, fotografier, affischer, gästböcker ARAB FH och FP samling: övriga landet vol. 4 affischer","FHP-enkät, FPC","Föreningen har haft ett tidigare Folkets Hus, granne med det nuvarande, som såldes till Filadelfiaförsamlingen i Blomstermåla."
0076,W,Ludvika,,Blötbergets arbetares byggnadsförening,1905,Blötbergets Folkets Hus,,kommunalt driftsbidrag 1993,Gonäs 13:20,,,,1942-43,tätort,,,,,,Kopparbergs länsarkiv 1904-1962,"FHP, SF, NAD, FAW",Tidigare fanns ett FH byggt 1905 i Slogåsen.
0077,BD,Boden,Överluleå,Föreningen  Folkets Hus upa Boden,1902,Bodens Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, kommun",Oxeln 1,"Kungsgatan 51, 961 35 Boden",Bergenudds Arkitektkontor,Yngve Lundström,1964-1966,inne i tätortsbebyggelse,Under 1998-1999 har restaurering av ventilationssystem samt ombyggnder gjorts för ca 16 milj. kr.,"scen, biograf, kök, restaurang, studielokal, bibliotek, föreningsexpedition, danslokal, bowlinghall, folktandvård, affärslokaler, hotell","mötesverksamhet, föreningsexpedition, teater, bio, dans, restaurang (ej i egen regi), studiecirklar, bowling",,"Från sekelskifte till Medborgarhus, Orvar Sandström, Boden, 1971","21 vol. arkivhandlingar 1902-1973 I lokalen och på Folkrörelsernas arkiv, Luleå: protokoll, korrespondens, räkenskaper, verksamhetsberättelser, övrigt","FHP-enkät, FA, LS, NAD","Föreningen har haft en folkpark, ca 500 m från centrum, som delvis är riven, delvis skola."
0078,S,Torsby,Södra Finnskoga,Bograngens byggnadsförening,1928,Bograngens Folkets Hus,,,,,,,1933,,,,,,,Folkrörelsearkivet för Värmland 4 vol. 1924-1966,"FHP, SF, NAD",
0079,O,Sotenäs,Askum,Föreningen Folkets Hus å Malmön upa,1902,Bohus Malmöns Folkets Hus och Park,ekonomisk förening upa,"s-förening, enskilda FH ligger i Folkets park, vilken ägs av kommunen, men får disponeras av FH så länge de sköter den.",Malmön 1:9,Lundéns väg 4,Håkan Olsson,Kungshus AB,1994,utanför tätortsbebyggelse,,"FP: friluftsscen, dansbana, lotterikiosk, korvkiosk FH: scen, kök, studielokal, danslokal","mötesverksamhet, teater, dans, konstutställning, studiecirklar, uthyrning till föreningar, enskilda samt kommunala sammankomster. I parken: midsommarfest, gympa på dansbanan, privata fester",,,"Landsarkivet i Göteborg 1903-1963: protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, biografstatistik 1948-1962, handl. rörande biblioteksverksamheten 1898-1951 ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment","FHP-enkät, SF, ARAB","Gamla Folkets Hus, som låg på samma plats, brann ner 1983."
0080,AC,Skellefteå,,Bolidens Folkets Hus,1926,Bolidens Folkets Hus,ekonomisk förening upa,fackförening,1:457 Bjurliden,Yttervägen 62,,,1953,I anslutning till tätortsbebyggelse,1982 större reparation,"scen, biograf, kök, studielokal, bibliotek, föreningsexpedition, danslokal, ungdomsgård","mötesverksamhet, föreningsexpedition",,,"I lokalen: protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier Fragment; Folkrörelsernas arkiv för Västerbotten, Skellefteå","FHP-enkät, SF",Föreningen har haft ett tidigare FH på samma plats byggt 1927 som brann ner 1953.
0081,Y,Kramfors,Ytterlännäs,Bollsta Folkets Hus,1919,Bollsta Folkets Hus,ekonomisk förening upa,"enskilda, kommun",,Tunsjövägen 4,Tor Dahl,Hallström och Nisses,FH 1956,inne i tätortsbebyggelse,1994 kontor och förråd,"scen, danslokal, restaurang, fritidsgård","mötesverksamhet, teater, bio, dans, restaurang, konstutställningar, studiecirklar, kabeltv/internet",,,"I Johannisberg: protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier ARAB: FHP-samling övriga orter vol 4: fragment",FHP-enkät,
0082,X,Gävle,,Bomhus Folkets Hus Ekonomisk Förening,1901,Bomhus Folkets Hus,Ekonomisk förening upa,"fackförening, s-förening, enskilda, kommun",Kristinelund 33:2,"Klockar-Calles gränd 3, Bomhus, Gävle",A K Arkitektur-Studio AB,SEAB,1989-1990,Inne i tätortsbebyggelse,,"scen, biograf, kök, studielokal, bibliotek, föreningsexpedition, danslokal, café","mötesverksamhet, föreningsexpedition, teater, bio, konstutställningar, studiecirklar, konferenser",,,"I lokalen protokoll, korrespondens, räkenskaper, verksamhetsberättelser",FHP-enkät,Föreningen har haft ett tidigare FH på Furuviksvägen i Bomhus. Rivet.
0083,Y,Örnsköldsvik,,,,Bonäsets Folkets Hus,,,,,,,,,,,,,,,FHP,
0084,AB,Nacka,,Boo Folkets husförening,1983,Boo Folkets Hus,ideell förening,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, drygt 100 föreningar, religiösa, boende, idrott, kultur, sociala",Orminge 47:3,Utöv. 6,"Thomas Holm, Arkitur AB",NCC,1984-1985,inne i tätortsbebyggelse,,"mobil scen för två studios på 80 resp. 130 kvm, biograf: storbilds samt 16 mm i två studios på 80 resp. 130 kvm, mindre kök, restaurang/kafé, studielokal, föreningsexpedition, danslokal, TV-studio med mediaverkstad på 80 kvm","mötesverksamhet, föreningsexpedition, teater, bio, dans, restaurang, studiecirklar, TV-produktion, gymnasieutbildning",,"Fogelqvist, Jonas: Orminge lever,  Stockholm, 1989",Folkets Hus Boo i källare under Nybodaskolan intill 1983- Nacka lokalhistoriska arkiv 1 vol. pressklipp 1983-1991,"FHP-enkät, NAD",
0085,E,Motala,Brunneby,Borensbergs byggnadsförening,1940-talet,Hällagården,ideell förening,"enskilda, kulturförening",Hälla 1:173,Hällaplan,,,1700-talet,inne i tätortsbebyggelse,1958 och 1970-talet 1997-fortfarande renovering invändigt En flygel rivningsfärdig.,"kök, studielokal, danslokal","mötesverksamhet, teater, dans, studiecirklar, privata tillställningar",bostad,,"i lokalen 1950- protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät,
0086,E,Motala,,Föreningen Borensbergs Folkets Hus,1919,Borensbergs Folkets Park,,,,,,,1920 (1925),,,,,,,,"FHP, SF, FPC",
0087,E,Finspång,Hällestad,Borggårds Folkets husförening,1948,Borggårds Folkets Hus,kommunalt bolag,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda",Kulla 1:13,Hällestads skola,Anders Eriksson ?,,1984,,,"scen, biograf, kök, studielokal, bibliotek, danslokal, skolmatsal för Hällestads skola","mötesverksamhet, teater, dans",,,"I lokalen protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät,Föreningen hade ett tidigare Folkets Hus i Borggård som brann ner pga blixtnedslag 1970.
0088,H,Borgholm,,Föreningen Folkets Hus i Borgholm upa,1930,Borgholms Folkets Hus Folkan,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda","Törnrosen 2, 8,9 (fd Nyborg 1, Kolstad 6:4, Stg 184)","Storgatan 39, Borgholm",,,,i anslutning till tätortsbebyggelse,"1936 restaurering och tillbyggnad 1955 restaurering och ombyggnad, sluttande golv i A-sal 1988-1989 om- och tillbyggnad","scen, biograf, kök, studielokal, föreningsexpedition","mötesverksamhet, teater, bio, studiecirklar, KOM-VUX","lantgård, bostäder",,I lokalen 1930- NM inventering 1958 fotografier ARAB: [samling] organisationsklipp vol. 6,"FHP-enkät, SF, NM, Östra Småland 15 mars  och 4 okt 1956",Inköpt och ombyggd till FH 1931. På 1930-talet hade man även Folkets Park-verksamhet kring huset.
0089,W,Borlänge,Stora Tuna,"Föreningen Folkets Hus & Park, Borlänge, ekonomisk förening",1900,Borlänge Folkets Park,Kommunalt,Borlänge kommun sedan 1993,Del av Borlänge Hagalund 1:7,Jussi björlings väg 25,,,1918,inne i tätortsbebyggelse,,Friluftsscen byggd ca 1965 En danslokal har funnits som brann ner 1977.,barnteater sommartid,,"Minnesskrift 40 år, Ardnt Johansson, Borlänge, 1941 Minnesskrift 50 år, Harry Backlund, Sollefteå, 1951 Minnesskrift 90 år, Erik Norelius, Borlänge, 1991","Dalarnas folkrörelsearkiv 3, 4 hm 1901-1985 protokoll 1901- korrespondens 1901- räkenskaper 1906-1915, 1928- verksamhetsberättelser 1901- inventarieförteckningar 1901-1941, 1946- ritningar, fotografier, affischer","FHP-enkät, SF, FPC, NAD","I parken ligger Borlänge Folkets Hus, se egen post."
0090,E,Boxholm,Ekeby,Föreningen Folkets Hus Boxholm,1899,Boxholm Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, kommun",Timmerö Norra 1:45,Storgatan 31,,,1939,inne i tätortsbebyggelse,1990-1991 tillbyggnad och upprustning,"scen, biograf, kök, studielokal, föreningsexpedition","mötesverksamhet, föreningsexpedition, teater, bio, konstutställningar, studiecirklar",,"Boxholms Folkets Hus 100 år, Birger Ekström, Boxholm, 1999","Boxholms folkrörelsearkiv 1899-    protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer ARAB: [samling] organisationsklipp vol. 6","FHP-enkät, SF, Östergötlands Folkblad 21 febr 1939 och Motala-Posten 6 mars 1959",Föreningen har haft tidigare FH i Boxholm på annan plats. Blev bostad.
0091,AB,Haninge,,,,Brandbergen Folkets Hus,,,,,,,,,,,,,,,FHP,
0092,O,Lysekil,Brastad,Brastads Folkets husförening upa,1925,Brastads Folkets Hus,ekonomisk förening upa,"fackförening, s-förening, enskilda",Prästtorp 2:1,Biografvägen 1,,,,inne i tätortsbebyggelse,Huset flyttades längre in på tomten och byggdes till 1970. Tillbyggt kontor 1989.,"scen, biograf, studielokal, föreningsexpedition, danslokal","mötesverksamhet, bio, dans, studiecirklar",,,"I lokalen. protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar",FHP-enkät,
0093,AC,Lycksele,Lycksele,,,Brattens Folkets Hus,,,,,,,,,,,,,,ARAB: [samling] organisationsklipp vol. 6,FHP,
0094,G,Växjö,Sjösås,Braås Folkets Hus och parkförening upa,1948,,ekonomisk förening upa,,,,,,,,,,Vilande. Föreningen har aldrig haft något FH.,,,,FHP-enkät,
0095,T,Hällefors,Hjulsjö,Föreningen Folkets Hus upa i Bredsjö,1918,Bredsjö Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, SSU-klubb, enskilda, kommun I princip finns ej längre ägarorganisationerna.",Jönshyttan 6:81,,,,1921,i anslutning till tätortsbebyggelse,Källare grävdes ur och byggdes på 1940-talet. Stora salen ombyggd på 1950-talet. Danspaviljong byggdes 1936.,"scen, kök, studielokal, föreningsexpedition, danslokal, dansbana utomhus","mötesverksamhet, studiecirklar",,,"Folkrörelsernas arkiv Örebro 1918-1979: protokoll, korrespondens, räkenskaper, verksamhetsberättelser","FHP-enkät, SF, FA, NAD",
0096,BD,Kalix,,,,Bredvikens Folkets Hus,,,,,,,,,,,,,,,FHP,
0097,T,Örebro,Asker,Brevers Folkets husförening,1980,Breversgården,ekonomisk förening upa,enskilda,"Smedvägen, Brevers Bruk",,,,1958-1959,inne i tätortsbebyggelse,,"scen, kök, restaurang, danslokal, hobbylokal, affär","mötesverksamhet, restaurang, affär",Samlingslokal byggd av Breversbruk AB personalstiftelse,,I lokalen 1980-,FHP-enkät,
0098,H,Emmaboda,Algutsboda,Broakulla Folkets husförening,,Broakulla Folkets Hus,ekonomisk förening upa,,"Kalvamo 1:20, 1:38",Landsv. Broakulla,,,1913,i anslutning till tätortsbebyggelse,1999-2000 restaurering och tillbyggnad,"scen, kök, mötes/studielokal, danslokal",uthyrning till företag och privatpersoner,,,Vissefjärda Arkivförening ARAB: [samling] organisationsklipp vol. 6,"FHP-enkät, Östra Småland 10 maj 19?",Här fanns även en folkpark. 1911 byggdes ett Folkets Hus som brann ned nyårsnatten 1912 efter en filmförevisning.
